company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
SEEK,Lead Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Avanade Malaysia Sdn Bhd,Data Engineer,"RM 8,000 per month",Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Training & Microsoft Certificate",51-100 employees,Computer Software & Networking,Kuala Lumpur
SEEK,Senior Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
RHB Banking Group,"Data Engineer, DE (1011103)",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
StarHub Ltd,Data Engineering,"RM 8,500 - RM 11,500 per month",Full time,Architects (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
RHB Banking Group,"Data Engineer, DE (1011101)",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
SEEK,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Cyber Village Sdn Bhd,Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.8,"Medical
Miscellaneous allowance
Dental
Parking",51-100 employees,Computer Software & Networking,"Damansara, Selangor"
SIMPLETRUSS SDN BHD,Data Engineer,"RM 7,000 - RM 10,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,"Assistant Vice President, Data Engineer","RM 8,000 - RM 12,000 per month",Full time,Analysis & Reporting (Banking & Financial Services),4,No info for Company Benefits,"101-1,000 employees",Human Resources & Recruitment,"Kuala Lumpur Sentral, Kuala Lumpur"
KINESSO MALAYSIA SDN. BHD. (fka Mediabrands Global Technology Solutions Sdn Bhd),Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
SkyWorld Development Berhad,Data Engineering,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.7,"Medical
Miscellaneous allowance
Loans
Dental
Sports (e.g. Gym)
Parking
Staff discount","101-1,000 employees",Real Estate & Property,Kuala Lumpur
MODE FAIR SDN BHD,AI Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),5,"Medical
Dental
Parking
Vision",11-50 employees,Computer Software & Networking,Kuala Lumpur
